time,type,spot_price,perp_price,funding_rate,allocated_capital,current_capital,reason,fees,trade_pnl_before_fees,trade_pnl_after_fees,cumulative_pnl_after_fees
2876,entry,15.554,15.561,1.25e-05,96470.84253639706,108394.20509707535,Entry: Perp > Spot & Funding Rate > Threshold,110.94146891685662,0.0,0.0,8394.205097075353
2877,exit,15.142,15.118,-4.2088e-06,96470.84253639706,108231.41055029519,Funding rate < Threshold,53.05896339501839,1.2058855317049633,-162.79454678017007,8231.410550295184
2878,entry,15.188,15.194,4.164e-07,96325.95538976272,108231.41055029519,Entry: Perp > Spot & Funding Rate > Threshold,110.77484869822713,0.0,0.0,8231.410550295184
2923,exit,15.324,15.312,-3.08853e-05,96325.95538976272,108135.09197347361,Funding rate < Threshold,52.9792754643695,67.43554734101676,-96.31857682157988,8135.091973473604
2926,entry,15.357,15.359,1.25e-05,96240.23185639152,108135.09197347361,Entry: Perp > Spot & Funding Rate > Threshold,110.67626663485025,0.0,0.0,8135.091973473604
2928,exit,15.039,15.027,-4.00769e-05,96240.23185639152,107973.88958511414,Funding rate < Threshold,52.93212752101534,2.406005796409788,-161.2023883594558,7973.889585114149
2930,entry,15.197,15.199,1.25e-05,96096.76173075159,107973.88958511414,Entry: Perp > Spot & Funding Rate > Threshold,110.51127599036433,0.0,0.0,7973.889585114149
2951,exit,16.181,16.17,-4.98173e-05,96096.76173075159,107834.67238055634,Funding rate < Threshold,52.85321895191338,24.147290384465002,-139.2172045578127,7834.672380556336
2957,entry,15.863,15.865,1.25e-05,95972.85841869515,107834.67238055634,Entry: Perp > Spot & Funding Rate > Threshold,110.36878718149941,0.0,0.0,7834.672380556336
2963,exit,16.44,16.432,-7.398e-06,95972.85841869515,107677.93614950872,Funding rate < Threshold,52.78507213028234,6.41762826417141,-156.73623104761035,7677.936149508726
2967,entry,16.169,16.17,6.6562e-06,95833.36317306277,107677.93614950872,Entry: Perp > Spot & Funding Rate > Threshold,110.20836764902218,0.0,0.0,7677.936149508726
2990,exit,16.787,16.772,-2.85888e-05,95833.36317306277,107539.77364982227,Funding rate < Threshold,52.70834974518453,24.754217707745344,-138.16249968646136,7539.773649822265
2994,entry,16.855,16.872,1.25e-05,95710.39854834182,107539.77364982227,Entry: Perp > Spot & Funding Rate > Threshold,110.0669583305931,0.0,0.0,7539.773649822265
3007,exit,17.873,17.852,-7.02268e-05,95710.39854834182,107397.58652101485,Funding rate < Threshold,52.640719201588006,20.520548724760857,-142.18712880742024,7397.586521014845
3018,entry,17.797,17.804,1.25e-05,95583.85200370321,107397.58652101485,Entry: Perp > Spot & Funding Rate > Threshold,109.9214298042587,0.0,0.0,7397.586521014845
